official_list_id,name,address,prefecture,municipality,stall_count,max_kw,tesla_location_id,official_source_url,stall_count_source_url,source_checked_at,review_status
"109","東京 - 下丸子","146-0092 東京都大田区下丸子 2-33-1","東京都","","8","250","34495","https://www.tesla.com/ja_JP/findus/location/supercharger/34495","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"110","所沢","359-0012 埼玉県所沢市大字坂之下 1130-1","埼玉県","","4","250","tokorozawasupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/tokorozawasupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"111","東京 - 千住","123-0852 東京都足立区関原 1-12-21","東京都","","6","250","tokyoadachisekibarasupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/tokyoadachisekibarasupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","manual_match_reviewed"
"112","東京 - 秋葉原","101-0021 東京都千代田区外神田 4-14-1","東京都","","4","250","tokyoakihabarasupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/tokyoakihabarasupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"113","東京 - 有明","135-0063 東京都江東区有明 2-1-8","東京都","","8","250","tokyoariakesupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/tokyoariakesupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"114","東京 - 池袋","171-8505 東京都豊島区西池袋 1-6-1","東京都","","4","250","ikebukurosupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/ikebukurosupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","manual_match_reviewed"
"115","東京 - 上池台","145-0064 東京都大田区上池台 4-21-10","東京都","","4","250","451261","https://www.tesla.com/ja_JP/findus/location/supercharger/451261","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"116","東京 - 芦花公園","157-0062 東京都世田谷区南烏山 1-18","東京都","","12","250","tokyorokakoensupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/tokyorokakoensupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"117","東京 - 六本木 P2","106-6155 東京都港区六本木 6-10-1","東京都","","4","250","tokyoroppongitwosupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/tokyoroppongitwosupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","manual_match_reviewed"
"118","東京 - 世田谷砧","157-0073 東京都世田谷区砧 1-16-6","東京都","","6","250","tokyosetagayakinutasupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/tokyosetagayakinutasupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
